3,3180
4,3273
2,3461
4,3555
1,3648
6,3742
2,3836
4,3930
3,4023
6,4211
2,4305
5,4492
2,4680
6,5242
5,5430
4,5617
2,5805
3,5992
5,7117
5,7305
4,7492
5,7680
6,7867
5,8242
1,8617
2,8805
3,8992
4,9180
5,9367
4,9742
3,10117
1,10305
2,10680
6,11242
5,11430
4,11617
2,11805
3,11992
2,13117
3,13305
4,13492
5,13680
6,13867
5,14242
1,14617
2,14805
3,14992
4,15180
5,15367
6,15742
5,16117
3,16680
6,17242
5,17430
4,17617
2,17805
3,17992
5,19117
5,19305
4,19492
5,19680
6,19867
5,20242
1,20617
2,20805
3,20992
4,21180
5,21367
4,21742
3,22117
1,22305
1,22680
6,23242
5,23430
4,23617
2,23805
3,23992
2,25117
3,25305
4,25492
5,25680
6,25867
5,26242
1,26617
2,26805
3,26992
4,27180
5,27367
6,27742
5,28117
3,28680
4,29055
3,29430
4,29805
2,30180
5,30367
2,30555
5,30742
2,30930
3,30930
5,31117
4,31117
3,31305
2,31305
4,31492
5,31492
3,31680
4,32055
5,32430
4,32711
3,32992
4,33180
5,33180
2,33555
3,33555
1,33930
6,34305
2,34680
3,34680
5,35055
4,35148
2,35242
3,35336
5,35430
4,35523
2,35617
3,35711
5,35805
4,35898
2,35992
3,36086
4,36180
3,36367
4,36555
3,36742
4,36930
5,36930
2,37117
3,37117
4,37305
5,37305
2,37492
3,37492
4,37680
3,38055
4,38430
6,39180
6,39367
4,39555
4,39742
2,39930
2,40117
4,40305
4,40492
4,41055
6,41055
5,41055
2,41617
3,41617
1,41617
2,42180
3,42180
6,42180
4,42742
5,42742
1,42742
4,43305
3,43398
5,43492
2,43586
6,44055
2,44055
3,44055
1,44617
4,44617
5,44617
6,45180
4,45180
5,45180
1,45742
2,45742
3,45742
1,45930
2,45930
3,45930
4,45930
5,45930
6,45930
3,46680
2,46867
1,47055
2,47242
4,47430
5,47617
6,47805
5,47992
3,48180
2,48367
1,48555
2,48742
3,48930
4,49680
5,49680
2,49867
3,49867
4,50055
5,50055
2,50242
3,50242
6,50430
5,50430
1,50617
2,50617
6,50805
5,50805
1,50992
2,50992
4,51180
3,51555
4,51930
3,52305
3,52680
2,52680
6,53055
4,53430
5,53430
3,53523
2,53617
1,53711
2,53805
3,53898
4,53992
5,54086
6,54180
5,54273
4,54367
3,54461
2,54555
1,54648
2,54742
3,54836
4,54930
5,55023
6,55117
5,55211
4,55305
3,55398
2,55492
1,55586
4,55680
5,55680
2,55867
3,55867
4,56055
5,56055
2,56242
3,56242
5,56430
4,56430
2,56617
3,56617
5,56805
5,56992
3,57180
2,57180
3,57555
2,57555
3,57930
2,57930
3,58305
2,58305
3,58680
2,58680
3,59055
2,59055
3,59430
2,59430
3,59805
2,59805
2,59992
3,59992
2,60180
3,60180
2,60555
3,60555
4,60742
2,60930
3,60930
1,60930
2,61305
3,61305
1,61305
3,61680
2,61680
2,61961
3,61961
2,62242
3,62242
2,62430
3,62430
4,62711
5,62711
1,63180
2,63180
3,63180
1,63555
2,63555
3,63555
1,63930
2,63930
3,63930
1,64305
2,64305
3,64305
1,64680
3,64680
2,64680
1,65055
2,65055
3,65055
1,65430
2,65430
3,65430
1,65805
2,65805
3,65805
5,65992
1,66180
2,66180
3,66180
1,66555
2,66555
3,66555
1,66930
2,66930
3,66930
1,67305
2,67305
3,67305
1,67492
3,67492
2,67492
4,67680
5,67680
4,68055
5,68055
4,68430
5,68430
4,68805
3,68992
4,69180
5,69180
6,69180
1,69555
1,69742
4,69930
5,69930
4,70398
5,70398
2,70586
3,70586
6,70680
6,70820
4,71055
5,71055
4,71430
5,71430
5,71805
4,71898
3,71992
2,72086
5,72180
2,72461
6,72555
2,72742
3,72836
6,72930
6,73117
2,73398
6,73492
1,73680
2,73961
6,74055
6,74195
3,74430
4,74617
5,74805
4,74992
2,75180
3,75180
2,75555
3,75555
5,75742
2,75930
3,75930
2,76305
3,76305
5,76305
2,76680
3,76680
5,76867
2,77055
3,77055
2,77430
3,77430
4,77617
5,77617
2,77805
3,77805
2,78180
3,78367
4,78555
5,78742
1,78930
2,79023
3,79117
4,79211
3,79305
4,79398
5,79492
6,79586
4,79680
3,79867
4,80055
3,80242
5,80430
2,80617
4,80805
5,80805
2,81930
4,82305
5,82867
5,83055
4,83242
3,83430
2,83617
1,83805
2,83992
1,84180
3,84367
5,84555
6,84742
5,85117
4,85492
3,85867
3,86055
2,86242
1,86430
2,86617
2,86805
1,86992
2,87930
4,88305
5,88867
